,0
3,IGHD1-1
4,IGHD1-14
5,IGHD1-20
6,IGHD1-26
7,IGHD1-7
8,IGHD1OR15-1A
9,IGHD1OR15-1B
10,IGHD2-15
11,IGHD2-2
12,IGHD2-21
13,IGHD2-8
14,IGHD2OR15-2A
15,IGHD2OR15-2B
16,IGHD3-10
17,IGHD3-16
18,IGHD3-22
19,IGHD3-3
20,IGHD3-9
21,IGHD3OR15-3A
22,IGHD3OR15-3B
23,IGHD4-11
24,IGHD4-17
25,IGHD4-23
26,IGHD4-4
27,IGHD4OR15-4A
28,IGHD4OR15-4B
29,IGHD5-12
30,IGHD5-18
31,IGHD5-24
32,IGHD5-5
33,IGHD5OR15-5A
34,IGHD5OR15-5B
35,IGHD6-13
36,IGHD6-19
37,IGHD6-25
38,IGHD6-6
39,IGHD7-27
48,IGHJ1
49,IGHJ1P
50,IGHJ2
51,IGHJ2P
52,IGHJ3
53,IGHJ3P
54,IGHJ4
55,IGHJ5
56,IGHJ6
58,IGHV1-12
59,IGHV1-14
60,IGHV1-17
61,IGHV1-18
62,IGHV1-2
63,IGHV1-24
64,IGHV1-3
65,IGHV1-45
66,IGHV1-46
67,IGHV1-58
68,IGHV1-67
69,IGHV1-68
70,IGHV1-69
71,IGHV1-69-2
72,IGHV1OR15-1
73,IGHV1OR15-2
74,IGHV1OR15-3
75,IGHV1OR15-4
76,IGHV1OR15-6
77,IGHV1OR15-9
78,IGHV1OR16-1
79,IGHV1OR16-2
80,IGHV1OR16-3
81,IGHV1OR16-4
82,IGHV1OR21-1
83,IGHV2-26
84,IGHV2-5
85,IGHV2-70
86,IGHV2-70-1
87,IGHV2OR16-5
88,IGHV3-11
89,IGHV3-13
90,IGHV3-15
91,IGHV3-16
92,IGHV3-19
93,IGHV3-20
94,IGHV3-21
95,IGHV3-22
96,IGHV3-23
97,IGHV3-25
98,IGHV3-29
99,IGHV3-30
100,IGHV3-30-2
101,IGHV3-32
102,IGHV3-33
103,IGHV3-33-2
104,IGHV3-35
105,IGHV3-36
106,IGHV3-37
107,IGHV3-38
108,IGHV3-41
109,IGHV3-42
110,IGHV3-43
111,IGHV3-47
112,IGHV3-48
113,IGHV3-49
114,IGHV3-50
115,IGHV3-52
116,IGHV3-53
117,IGHV3-54
118,IGHV3-57
119,IGHV3-6
120,IGHV3-60
121,IGHV3-62
122,IGHV3-63
123,IGHV3-64
124,IGHV3-65
125,IGHV3-66
126,IGHV3-7
127,IGHV3-71
128,IGHV3-72
129,IGHV3-73
130,IGHV3-74
131,IGHV3-75
132,IGHV3-76
133,IGHV3-79
134,IGHV3OR15-7
135,IGHV3OR16-10
136,IGHV3OR16-11
137,IGHV3OR16-12
138,IGHV3OR16-13
139,IGHV3OR16-15
140,IGHV3OR16-6
141,IGHV3OR16-7
142,IGHV3OR16-8
143,IGHV3OR16-9
144,IGHV4-28
145,IGHV4-31
146,IGHV4-34
147,IGHV4-39
148,IGHV4-4
149,IGHV4-55
150,IGHV4-59
151,IGHV4-61
152,IGHV4OR15-8
153,IGHV5-51
154,IGHV5-78
155,IGHV6-1
156,IGHV7-27
157,IGHV7-34-1
158,IGHV7-40
159,IGHV7-56
160,IGHV7-81
161,IGHVII-1-1
162,IGHVII-15-1
163,IGHVII-22-1
164,IGHVII-26-2
165,IGHVII-30-1
166,IGHVII-31-1
167,IGHVII-33-1
168,IGHVII-40-1
169,IGHVII-44-2
170,IGHVII-46-1
171,IGHVII-49-1
172,IGHVII-51-2
173,IGHVII-53-1
174,IGHVII-60-1
175,IGHVII-62-1
176,IGHVII-65-1
