,freq_pvalue,pvalue,effect_size,gene_ids,feature_types,n_counts,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,clonally_expressed,normalized_effect_size
IGKV1-5,0,2.1435946711908994e-142,-2.5225902768619353,ENSG00000243466,Gene Expression,2304936.0,False,698,4.2762604,1.6632175,14.039408866995073,3472.3232,8.152867,4995,True,-0.589905678109195
IGKV3-11,0,6.121711975394995e-129,-1.9116556346207232,ENSG00000241351,Gene Expression,1419744.0,False,612,3.090241,1.4086039,24.630541871921185,2509.2756,7.828148,4352,True,-0.618610542750537
IGLV1-40,0,1.9020317191101814e-128,-1.633219002371626,ENSG00000211653,Gene Expression,1529583.0,False,602,2.733651,1.3173865,25.86206896551724,2219.7246,7.705589,4488,True,-0.59744972877281
IGLV1-51,0,6.6068876023971504e-124,-1.480471262912034,ENSG00000211644,Gene Expression,1289331.0,False,528,2.2483912,1.1781598,34.97536945812808,1825.6936,7.510263,3932,True,-0.6584580543165762
IGKV3-15,0,1.8999020287365082e-122,-1.7277503104138687,ENSG00000244437,Gene Expression,1417563.0,False,633,3.0520275,1.3992174,22.044334975369463,2478.2463,7.81571,4427,True,-0.56609920154478
IGLV1-44,0,6.203923106676056e-122,-1.5400134576708204,ENSG00000211651,Gene Expression,993660.0,False,477,2.0847774,1.1264795,41.256157635467986,1692.8392,7.434753,3582,True,-0.7386944480349298
IGKV4-1,0,4.7192825859582696e-117,-1.4005197923677266,ENSG00000211598,Gene Expression,2302581.0,False,720,3.1005898,1.4111308,11.33004926108374,2517.679,7.83149,5120,True,-0.4516946465991618
IGLV1-47,0,3.391001369581822e-114,-1.2905648573240518,ENSG00000211648,Gene Expression,556722.0,False,429,1.7376375,1.0070953,47.16748768472906,1410.9617,7.252735,3119,True,-0.742712356628637
IGKV3-20,0,4.136796177970493e-113,-1.9564021962087341,ENSG00000239951,Gene Expression,2647898.0,False,693,3.6040256,1.526931,14.655172413793105,2926.4688,7.9818935,4955,True,-0.5428380405894214
IGKV1-9,0,1.5484842490269722e-111,-1.4461729607906475,ENSG00000241755,Gene Expression,393154.0,False,446,1.9549347,1.0834765,45.07389162561576,1587.407,7.3704867,3090,True,-0.7397551175434988
IGLV2-8,0,4.451520304793533e-111,-1.345503761806141,ENSG00000278196,Gene Expression,624050.0,False,426,1.8065431,1.0319536,47.536945812807886,1466.913,7.291597,3177,True,-0.7447947148433429
IGLV2-14,0,3.3963115380472718e-108,-1.419526202863465,ENSG00000211666,Gene Expression,1599490.0,False,578,2.4313018,1.2329397,28.817733990147786,1974.217,7.5884337,4181,True,-0.5838543713758126
IGKV1-6,0,6.258748733687474e-106,-1.4973913353852086,ENSG00000239855,Gene Expression,302208.0,False,451,2.0178216,1.1045352,44.45812807881774,1638.4711,7.402129,3111,True,-0.7420831317373853
IGKC,0,7.164118304322829e-106,-2.313442685999333,ENSG00000211592,Gene Expression,1750254.0,False,770,6.0932217,1.9591396,5.1724137931034475,4947.696,8.50688,5537,True,-0.37967479494548095
