,protein,rna
0,CD3_TotalSeqC,CD3E
1,CD19_TotalSeqC,CD19
2,CD20_TotalSeqC,MS4A1
3,CD27_TotalSeqC,CD27
4,CD62L_TotalSeqC,SELL
5,CD80_TotalSeqC,CD80
6,CD86_TotalSeqC,CD86
7,CD95_(Fas)_TotalSeqC,FAS
8,HLA-DR_TotalSeqC,HLA-A
9,CD275_(B7-H2_ICOSL)_TotalSeqC,ICOSLG
10,IgM_TotalSeqC,IGHM
11,Ig_light_chain_KTotalSeqC,IGKC
12,Ig_light_chain_LTotalSeqC,IGLC3
13,CD268_(BAFF-R)_TotalSeqC,TNFRSF13C
14,CD40_TotalSeqC,CD40
15,CD79b_(IgB)_TotalSeqC,CD79B
16,IgD_TotalSeqC,IGHD
17,CD138_(Syndecan-1)_TotalSeqC,SDC1
18,CD126_(IL-6RA)_TotalSeqC,IL6R
19,CD124_(IL-4RA)_TotalSeqC,IL4R
20,CD38_TotalSeqC,CD38
21,B7-H4_TotalSeqC,VTCN1
22,CD360_(IL-21R)_TotalSeqC,IL21R
23,Hashtag_1_TotalSeqC,ACTB
24,Hashtag_2_TotalSeqC,GAPDH
25,Hashtag_3_TotalSeqC,MTRNR2L12
26,Hashtag_4_TotalSeqC,RPS28
27,mouse_IgG1_controlTotalSeqC,AC134981.1
28,mouse_IgG2b_controlTotalSeqC,AC009494.2
29,IgG_Fc_TotalSeqC,IGHG1
30,CD32_TotalSeqC,FCGR2A
31,CD279_(PD-1)_TotalSeqC,PDCD1
32,CD23_TotalSeqC,FCER2
33,CD305_(LAIR1)_TotalSeqC,LAIR1
